game_name,developer,genre,rating,Outlier_Flag,Rating_Normalized,Rating_Standardized,Rating_Score_100,Rating_Category,Genre_Cleaned,Dev_Avg_Rating,Dev_Game_Count,Dev_Rating_Std,Dev_Min_Rating,Dev_Max_Rating,Developer_Tier,Genre_Popularity_Score,Global_Rank,Rating_Percentile,Data_Snapshot_Date,Data_Snapshot_DateTime
Temple Run,Imangi Studios,Endless Runner,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Endless Runner,4.2,1,0.0,4.2,4.2,Indie Developer,4,80,14.85,2026-01-08,2026-01-08 11:48:26
Angry Birds,Rovio Entertainment,Arcade,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Arcade,4.5,3,0.17,4.3,4.6,Mid-Tier Publisher,10,60,32.18,2026-01-08,2026-01-08 11:48:26
Fruit Ninja,Halfbrick Studios,Arcade,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Arcade,4.4,2,0.0,4.4,4.4,Indie Developer,10,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Brawl Stars,Supercell,Action,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Action,4.48,5,0.04,4.4,4.5,AAA Publisher,5,19,72.28,2026-01-08,2026-01-08 11:48:26
Minecraft,Mojang,Sandbox,4.8,Normal,0.9999999999999988,2.330784738854438,100.0,1. Top Rated (≥4.5),Others,4.8,1,0.0,4.8,4.8,Indie Developer,2,2,98.02,2026-01-08,2026-01-08 11:48:26
Asphalt 9: Legends,Gameloft,Racing,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Racing,4.45,2,0.21,4.3,4.6,Indie Developer,5,8,88.12,2026-01-08,2026-01-08 11:48:26
8 Ball Pool,Miniclip,Sports,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Sports,4.5,1,0.0,4.5,4.5,Indie Developer,4,19,72.28,2026-01-08,2026-01-08 11:48:26
Homescapes,Playrix,Puzzle,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Puzzle,4.4,2,0.0,4.4,4.4,Indie Developer,13,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Gardenscapes,Playrix,Puzzle,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Puzzle,4.4,2,0.0,4.4,4.4,Indie Developer,13,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Clash Royale,Supercell,Strategy,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Strategy,4.48,5,0.04,4.4,4.5,AAA Publisher,17,19,72.28,2026-01-08,2026-01-08 11:48:26
Mario Kart Tour,Nintendo,Racing,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Racing,4.2,1,0.0,4.2,4.2,Indie Developer,5,80,14.85,2026-01-08,2026-01-08 11:48:26
Hearthstone,Blizzard Entertainment,Card,4.1,Normal,0.0,-1.7180231490327573,0.0,2. Good (4.0 - 4.4),Others,4.1,1,0.0,4.1,4.1,Indie Developer,1,95,3.9600000000000004,2026-01-08,2026-01-08 11:48:26
Rise of Kingdoms,Lilith Games,Strategy,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Strategy,4.35,2,0.07,4.3,4.4,Indie Developer,17,60,32.18,2026-01-08,2026-01-08 11:48:26
AFK Arena,Lilith Games,Rpg,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Rpg,4.35,2,0.07,4.3,4.4,Indie Developer,6,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Mobile Legends,Moonton,Moba,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Others,4.3,1,0.0,4.3,4.3,Indie Developer,2,60,32.18,2026-01-08,2026-01-08 11:48:26
Free Fire,Garena,Battle Royale,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Battle Royale,4.3,1,0.0,4.3,4.3,Indie Developer,3,60,32.18,2026-01-08,2026-01-08 11:48:26
Dragon Ball Legends,Bandai Namco,Fighting,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Others,4.2,1,0.0,4.2,4.2,Indie Developer,2,80,14.85,2026-01-08,2026-01-08 11:48:26
Marvel Contest of Champions,Kabam,Fighting,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Others,4.4,1,0.0,4.4,4.4,Indie Developer,2,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Dragon City,Socialpoint,Simulation,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Simulation,4.3,1,0.0,4.3,4.3,Indie Developer,14,60,32.18,2026-01-08,2026-01-08 11:48:26
The Sims Mobile,Electronic Arts,Simulation,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Simulation,4.32,4,0.1,4.2,4.4,Mid-Tier Publisher,14,80,14.85,2026-01-08,2026-01-08 11:48:26
